ID,Carimbo de data/hora,Você é:,Idade:,Gênero,(Apenas para estudantes do IMPA Tech) Qual é a sua ênfase? ,Pergunta1,Pergunta2,Pergunta3,Pergunta4,Pergunta5,Pergunta6,Pergunta7,Pergunta8,Pergunta9,Pergunta10,Pergunta11,Pergunta12,Pergunta13,Pergunta14,Pergunta15,Pergunta16,Pergunta17,Bacon,Popper,Kuhn,Feyerabend,Autor_Predominante,Segundo_Predominante
1,17/06/2026 12:59:35,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Matemática,2,0,1,1,2,1,2,-2,0,0,1,2,2,1,2,2,,2.0,1.0,0.8,0.8,Bacon,Popper
2,17/06/2026 13:19:30,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ciência de Dados,-1,2,1,2,2,1,0,1,2,0,-1,1,-1,-1,1,1,,0.3,1.0,0.4,0.0,Popper,Kuhn
3,17/06/2026 13:57:57,Estudante do IMPA Tech ou UFRJ,25 - 34 anos,Feminino,Ciência de Dados,1,1,2,0,2,-1,0,-1,0,0,1,2,2,0,-1,1,,1.0,0.6,0.4,0.8,Bacon,Feyerabend
4,17/06/2026 16:10:37,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Física,1,1,1,1,1,-1,0,0,2,2,1,1,0,-1,-1,0,,0.7,1.0,0.4,0.2,Popper,Bacon
5,17/06/2026 16:13:18,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ciência de Dados,1,2,2,1,1,-1,1,-1,2,1,1,1,0,-1,1,1,,1.0,1.2,0.6,0.2,Popper,Bacon
6,17/06/2026 18:11:01,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Matemática,-1,1,2,2,2,1,1,1,-1,2,1,1,1,-1,1,2,,0.7,1.4,0.4,1.2,Popper,Feyerabend
7,17/06/2026 18:33:06,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ciência de Dados,2,1,2,2,2,0,-1,1,2,0,1,1,2,0,0,1,Algo que possa ser provado (?) ,1.0,0.6,1.0,1.2,Feyerabend,Bacon
8,17/06/2026 18:37:47,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ciência de Dados,1,2,2,1,1,2,1,1,2,2,1,2,1,2,1,2,Aplicação do método científico.,1.0,1.6,1.8,1.2,Kuhn,Popper
9,17/06/2026 19:42:34,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Matemática,1,2,2,1,0,1,2,-1,-1,2,2,2,1,-1,0,2,,1.0,1.8,0.6,1.0,Popper,Bacon
10,17/06/2026 20:55:40,Estudante do IMPA Tech ou UFRJ,18 - 24 anos,Feminino,Ainda no ciclo básico,-1,2,2,2,2,0,1,-1,-1,-2,-1,2,2,-2,1,1,"Algo bem fundamentado em experimentos, observações e método.",0.7,1.0,-0.4,0.2,Popper,Bacon
